name,actualFunctions,embeddedFunctions,functionalCategories,keyIngredientTypes,isKeyIngredient,suitableForSkinTypes,addressesConcerns,providedBenefits,usageInstructions,pregnancySafe,sensitivities,alcoholFree,fragranceFree,siliconeFree,sulfateFree,parabenFree,explanation,benefit,safety,alternativeNames,whatItDoes,url
"Acetyl HistidineEmollient, Humectant, Skin Conditioning","Emollient, Skin Conditioning, Soothing, Humectant",,"Moisturizing, Treatment",Others,No,"Dry,  Normal","Dryness, Sensitivity, Redness","Hydrating, Soothing, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk asetil histidin. Apa yang tidak memiliki kualitas pelunakan atau menenangkan kulit. Zat humectanta yang mempromosikan retensi kelembaban.,Check if a product contains fungal acne triggers,,"ACETYL HISTIDINE, 219-678-6 / -, All Functions, Emollient",EmollientHaving the quality of softening or soothing the skin.HumectantA substance that promotes retention of moisture.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetyl-histidine
Acetyl Tetrapeptide-27Skin Conditioning,Skin Conditioning,,Moisturizing,Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Asetil tetrapeptida-27 adalah peptida. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACETYL TETRAPEPTIDE-27, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetyl-tetrapeptide-27
"Acetyl Trihexyl CitrateEmollient, Skin Conditioning, Antioxidant","Emollient, Skin Conditioning, Antioxidant, Soothing",,"Moisturizing, Protective, Treatment",Others,No,"Dry,  Normal","Aging, Dryness, Sensitivity, Redness","Hydrating, Protecting, Soothing, Anti-aging, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Asetil trihexyl sitrat adalah antioksidan. What it doesEmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skinAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.PrevalenceLess commonPercentage of products that contain it0%",Antioxidant | Check if a product contains fungal acne triggers,,"ACETYL TRIHEXYL CITRATE, All Functions, Antioxidant, Chelating","EmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skinAntioxidantA substance that inhibits oxidation, especially one, such as vitamin e, vitamin c, or beta carotene, that protects cellsfrom the sometimes damaging effects of oxidation.",https://skinsort.com/ingredients/acetyl-trihexyl-citrate
Acetyl OrnithineSkin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk asetil ornithine. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACETYL ORNITHINE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetyl-ornithine
Caproyl Ethyl GlucosideCleansing,Cleansing,,Cleansing,Others,No,Oily,"Acne, Oiliness","Cleansing, Oil Control",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Kami belum memiliki deskripsi untuk caproyl ethyl glucoside. Apa yang dilakukannya bebas dari kotoran, kontaminasi, atau pengotor yang tidak menguntungkan persentase umum produk yang mengandung IT0%","Check if a product contains fungal acne triggers | All FunctionsCleansing, Surfactant",,"CAPROYL ETHYL GLUCOSIDE, All Functions, Cleansing, Surfactant","CleansingTo free from dirt, contamination, or impurities",https://skinsort.com/ingredients/caproyl-ethyl-glucoside
PEG-4 Aminoethylamino-Pg-Propyl ...Hair Conditioning,,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,PEG-4 aminoethylamino-PG-propyl dimethicone adalah jenis silikon. Commonpersentage yang tidak lazim dari produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"PEG-4 AMINOETHYLAMINO-PG-PROPYL DIMETHICONE, All Functions, Hair Conditioning",,https://skinsort.com/ingredients/peg-4-aminoethylamino-pg-propyl-dimethicone
Acetyl Sh-Decapeptide-4 Sp Amide...Skin Conditioning,Skin Conditioning,,Moisturizing,Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Acetyl sh-decapeptide-4 sp amide trifluoroacetate adalah peptida. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACETYL SH-DECAPEPTIDE-4 SP AMIDE TRIFLUOROACETATE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetyl-sh-decapeptide-4-sp-amide-trifluoroacetate
"Acetyl Sh-Oligopeptide-30 SpSkin Conditioning, Skin Protecting","Skin Protecting, Skin Conditioning",,"Moisturizing, Protective",Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Protecting, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Acetyl SH-oligopeptide-30 SP adalah peptida. Apa yang dikondisikan oleh kulit untuk melembabkan dan melembutkan kulit kulit yang melindungi kulit agar tidak rusak hingga tingkat tingkat umum yang tidak tervalen dari produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACETYL SH-OLIGOPEPTIDE-30 SP, All Functions, Skin Conditioning, Skin Protecting",Skin ConditioningTo hydrate and soften skinSkin ProtectingTo keep skin from being damaged to a certain degree,https://skinsort.com/ingredients/acetyl-sh-oligopeptide-30-sp
"Isopropyl BabassuateEmollient, Skin Conditioning","Emollient, Skin Conditioning, Soothing",,"Moisturizing, Treatment",Others,No,"Dry,  Normal","Dryness, Sensitivity, Redness","Hydrating, Soothing, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk isopropyl babassuate. Apa yang dilakukannya dengan kualitas pelunakan atau menenangkan kulit.,Check if a product contains fungal acne triggers,,"ISOPROPYL BABASSUATE, All Functions, Emollient, Skin Conditioning",EmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/isopropyl-babassuate
"Acetyl Sh-Oligopeptide-26 Sh-Oli...Emollient, Skin Conditioning, Skin Protecting","Skin Protecting, Emollient, Skin Conditioning, Soothing",,"Moisturizing, Protective, Treatment",Peptides,Yes,"Dry,  Normal","Aging, Dryness, Sensitivity, Redness","Hydrating, Protecting, Soothing, Anti-aging, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Acetyl SH-oligopeptide-26 SH-oligopeptide-27 SP adalah peptida. Apa yang dilakukannya dengan kualitas pelunakan atau menenangkan kulit.,Check if a product contains fungal acne triggers,,"ACETYL SH-OLIGOPEPTIDE-26 SH-OLIGOPEPTIDE-27 SP, All Functions, Emollient, Skin Conditioning, Skin Protecting",EmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skinSkin ProtectingTo keep skin from being damaged to a certain degree,https://skinsort.com/ingredients/acetyl-sh-oligopeptide-26-sh-oligopeptide-27-sp
"Acetyl Sh-Oligopeptide-92 SpSkin Conditioning, Skin Protecting","Skin Protecting, Skin Conditioning",,"Moisturizing, Protective",Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Protecting, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Acetyl SH-oligopeptide-92 SP adalah peptida. Apa yang dikondisikan oleh kulit untuk melembabkan dan melembutkan kulit kulit yang melindungi kulit agar tidak rusak hingga tingkat tingkat umum yang tidak tervalen dari produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACETYL SH-OLIGOPEPTIDE-92 SP, All Functions, Skin Conditioning, Skin Protecting",Skin ConditioningTo hydrate and soften skinSkin ProtectingTo keep skin from being damaged to a certain degree,https://skinsort.com/ingredients/acetyl-sh-oligopeptide-92-sp
Acetyl Sh-Tetrapeptide-2 AmideSkin Conditioning,Skin Conditioning,,Moisturizing,Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Asetil SH-tetrapeptida-2 amida adalah peptida. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACETYL SH-TETRAPEPTIDE-2 AMIDE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetyl-sh-tetrapeptide-2-amide
Caproyl TyrosineSkin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk Caproyl Tyrosine. Lihat All2 Productswith Caproyl Tyrosine Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalenceless common cententage produk yang mengandung IT0%PositionPedomed dominan penempatan penempatan 25%,Check if a product contains fungal acne triggers,,"CAPROYL TYROSINE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/caproyl-tyrosine
Acetyl Sh-Oligopeptide-77 AmideSkin Conditioning,Skin Conditioning,,Moisturizing,Peptides,Yes,"Dry,  Normal","Aging, Dryness","Hydrating, Anti-aging, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Acetyl SH-oligopeptide-77 amida adalah peptida. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACETYL SH-OLIGOPEPTIDE-77 AMIDE, All Functions, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetyl-sh-oligopeptide-77-amide
"Acetyl Triethylhexyl CitrateEmollient, Skin Conditioning","Emollient, Skin Conditioning, Soothing",,"Moisturizing, Treatment",Others,No,"Dry,  Normal","Dryness, Sensitivity, Redness","Hydrating, Soothing, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk asetil triethylhexyl citrate. Apa yang dilakukannya dengan kualitas pelunakan atau menenangkan kulit.,Check if a product contains fungal acne triggers,,"ACETYL TRIETHYLHEXYL CITRATE, 205-617-0, All Functions, Emollient",EmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetyl-triethylhexyl-citrate
C12-17 AlkaneEmollient,"Emollient, Soothing",,"Moisturizing, Treatment",Others,No,Dry,"Dryness, Sensitivity, Redness","Soothing, Softening",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk C12-17 Alkane. Apa yang dilakukannya dengan kualitas pelunakan atau menenangkan kulit.,Check if a product contains fungal acne triggers,,"C12-17 ALKANE, All Functions, Emollient",EmollientHaving the quality of softening or soothing the skin.,https://skinsort.com/ingredients/c12-17-alkane
"Isopropyl Behenate1Emollient, Skin Conditioning","Emollient, Skin Conditioning, Soothing",,"Moisturizing, Treatment",Others,No,"Dry,  Normal","Dryness, Sensitivity, Redness","Hydrating, Soothing, Softening, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk isopropil Behenate. Apa yang dilakukannya dengan kualitas pelunakan atau menenangkan kulit.,Check if a product contains fungal acne triggers,,"ISOPROPYL BEHENATE, 247-922-1, All Functions, Emollient",EmollientHaving the quality of softening or soothing the skin.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/isopropyl-behenate
"Acetylated Palm Kernel GlyceridesEmollient, Emulsifying","Emollient, Emulsifying, Soothing",,"Moisturizing, Treatment, Formulation",Others,No,Dry,"Dryness, Sensitivity, Redness","Soothing, Softening",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk gliserida kernel palem asetat. Apa yang tidak memiliki kualitas pelunakan atau menenangkan kulit.,Check if a product contains fungal acne triggers,,"ACETYLATED PALM KERNEL GLYCERIDES, 294-627-9, All Functions, Emollient",EmollientHaving the quality of softening or soothing the skin.EmulsifyingThe act of emulsion: a suspension of small globules of one liquid in a second liquid with which the first will not mix,https://skinsort.com/ingredients/acetylated-palm-kernel-glycerides
Ditrimethylolpropane TetraacrylateFilm Forming,,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk tetraacrylate ditrimethylolpropane. Commonpersentage yang tidak lazim dari produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"DITRIMETHYLOLPROPANE TETRAACRYLATE, All Functions, Film Forming",,https://skinsort.com/ingredients/ditrimethylolpropane-tetraacrylate
GuaienePerfuming,,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Guaiene adalah wewangian. Apa yang tidak terjadi zat yang memancarkan dan meredakan bau harum, terutama cairan volatil yang disuling dari bunga atau disiapkan secara sintetis.",Check if a product contains fungal acne triggers,,"GUAIENE, 201-860-1, All Functions, Perfuming","PerfumingA substance that emits and diffuses a fragrant odor, especially a volatile liquid distilled from flowers or preparedsynthetically.",https://skinsort.com/ingredients/guaiene
Acetylated C10-40 Hydroxyalkyl A...2Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ester kolesterol/lanosterol asam hidroksialkyl asetilasi Hydroxyalkyl. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"All Functions, Hair Conditioning, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetylated-c10-40-hydroxyalkyl-acid-cholesterol-lanosterol-esters
Halobacterium Ferment Lysate Ext...Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak lisat fermentasi Halobacterium. Apa yang Doesskin Conditioning untuk menghidrasi dan melunakkan skinprevalencel tidak masuknya produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"HALOBACTERIUM FERMENT LYSATE EXTRACT, All Functions, Film Forming, Skin Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/halobacterium-ferment-lysate-extract
Acid Red 184Hair Dyeing,,,,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk asam merah 184. Commonpersentage yang tidak lazim dari produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACID RED 184, All Functions, Hair Dyeing",,https://skinsort.com/ingredients/acid-red-184
Isopropyl CitrateSolvent,Solvent,,Formulation,Others,No,Normal,,,,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk isopropil sitrat. Apa yang Dilakukan Mendapatkan yang Dapat Diboroti Zat Lain.,Check if a product contains fungal acne triggers,,"ISOPROPYL CITRATE, 215-319-2 / -, All Functions, Plasti CI Ser",SolventCapable of dissolving another substance.,https://skinsort.com/ingredients/isopropyl-citrate
Boswellia Serrata Gum Extract1Skin Conditioning,Skin Conditioning,,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk ekstrak permen karet Boswellia serrata. Lihat All13 Productswith Boswellia Serrata Gum Extract Apa yang Doesskin mengondisikan untuk menghidrasi dan melunakkan SkinPrevalenceless Common Centsage dari Produk yang mengandung IT0%Position Predomed dominan penempatan BBOTTOM 50%,Check if a product contains fungal acne triggers,,"BOSWELLIA SERRATA GUM EXTRACT, 308-366-6, All Functions, Hair Conditioning",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/boswellia-serrata-gum-extract
"Acetylglutaminoyl FarnesylcysteineHumectant, Skin Conditioning","Skin Conditioning, Humectant",,Moisturizing,Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk asetilglutaminoyl farnesylcysteine. Apa yang dilakukan zat yang mempromosikan retensi kelembaban.,Check if a product contains fungal acne triggers,,"ACETYLGLUTAMINOYL FARNESYLCYSTEINE, All Functions, Humectant, Skin Conditioning",HumectantA substance that promotes retention of moisture.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/acetylglutaminoyl-farnesylcysteine
"Acetyl TryptophanSkin Conditioning, Skin Protecting","Skin Protecting, Skin Conditioning",,"Moisturizing, Protective",Others,No,"Dry,  Normal",Dryness,"Hydrating, Protecting, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,Kami belum memiliki deskripsi untuk asetil tryptopHAn. Apa yang dikondisikan oleh kulit untuk melembabkan dan melembutkan kulit kulit yang melindungi kulit agar tidak rusak hingga tingkat tingkat umum yang tidak tervalen dari produk yang mengandung IT0%,Check if a product contains fungal acne triggers,,"ACETYL TRYPTOPHAN, All Functions, Skin Conditioning, Skin Protecting",Skin ConditioningTo hydrate and soften skinSkin ProtectingTo keep skin from being damaged to a certain degree,https://skinsort.com/ingredients/acetyl-tryptophan
